filename,label,gaze_horizontal_std,saccade_velocity_mean,saccade_velocity_std,pause_time_ratio,pauses_per_minute,pitch_mean_hz,pitch_std_hz
scripted_sample_1.mp4,1,0.0875,0.0243,0.0169,0.1457,5.65,161.49,24.32
spontaneous_sample_2.mp4,0,0.0377,0.0086,0.0091,0.2568,12.84,173.63,24.52
scripted_sample_3.mp4,1,0.0541,0.0222,0.012,0.1094,4.64,143.82,23.86
spontaneous_sample_4.mp4,0,0.0277,0.0102,0.0052,0.2528,14.28,152.74,38.25
scripted_sample_5.mp4,1,0.071,0.0235,0.0132,0.1556,5.98,149.13,21.29
spontaneous_sample_6.mp4,0,0.0178,0.0106,0.0041,0.2136,14.49,181.08,37.03
scripted_sample_7.mp4,1,0.0783,0.0235,0.0106,0.0784,5.31,180.86,19.37
spontaneous_sample_8.mp4,0,0.0124,0.011,0.0072,0.2462,15.53,185.46,41.59
scripted_sample_9.mp4,1,0.0674,0.0235,0.016,0.1293,5.28,162.22,13.57
spontaneous_sample_10.mp4,0,0.018,0.0124,0.0107,0.2764,16.51,175.42,32.13
scripted_sample_11.mp4,1,0.0854,0.0327,0.0149,0.1469,2.07,177.33,18.35
spontaneous_sample_12.mp4,0,0.027,0.0103,0.004,0.269,14.89,192.17,32.89
scripted_sample_13.mp4,1,0.0679,0.0225,0.0177,0.1099,5.21,172.7,18.39
spontaneous_sample_14.mp4,0,0.0397,0.0079,0.0073,0.2604,10.34,174.44,37.57
scripted_sample_15.mp4,1,0.0801,0.0238,0.0108,0.0874,5.49,152.97,17.35
spontaneous_sample_16.mp4,0,0.034,0.0157,0.0083,0.2929,13.81,141.22,35.84
scripted_sample_17.mp4,1,0.0809,0.0373,0.0144,0.109,5.95,147.47,22.57
spontaneous_sample_18.mp4,0,0.0375,0.0124,0.0062,0.3501,10.5,178.8,49.14
scripted_sample_19.mp4,1,0.0651,0.0222,0.0153,0.0849,3.67,166.03,13.75
spontaneous_sample_20.mp4,0,0.0347,0.0072,0.0111,0.2408,13.19,182.2,28.61
scripted_sample_21.mp4,1,0.0834,0.0315,0.0102,0.1055,6.39,176.73,13.05
spontaneous_sample_22.mp4,0,0.0168,0.0116,0.0086,0.2925,14.87,159.8,37.39
scripted_sample_23.mp4,1,0.0844,0.0214,0.0206,0.1142,4.21,174.85,14.1
spontaneous_sample_24.mp4,0,0.0379,0.0135,0.0064,0.3282,15.03,182.33,47.38
scripted_sample_25.mp4,1,0.0763,0.0212,0.0123,0.0755,5.88,170.12,19.11
spontaneous_sample_26.mp4,0,0.0383,0.01,0.0109,0.2668,20.8,179.39,30.86
scripted_sample_27.mp4,1,0.0639,0.0274,0.0143,0.1214,6.71,163.91,14.61
spontaneous_sample_28.mp4,0,0.0149,0.0087,0.0097,0.2907,10.89,172.6,38.31
scripted_sample_29.mp4,1,0.0667,0.0258,0.0152,0.0657,6.54,173.41,22.33
spontaneous_sample_30.mp4,0,0.0405,0.0059,0.0061,0.3058,15.28,177.73,59.12
scripted_sample_31.mp4,1,0.0886,0.0307,0.0179,0.1195,5.53,176.38,14.91
spontaneous_sample_32.mp4,0,0.0276,0.0085,0.0082,0.3957,9.33,180.29,26.32
scripted_sample_33.mp4,1,0.0729,0.0304,0.0152,0.0677,4.93,175.19,15.08
spontaneous_sample_34.mp4,0,0.0322,0.0101,0.0067,0.3872,15.58,139.62,37.12
scripted_sample_35.mp4,1,0.0701,0.0293,0.0126,0.0966,6.76,177.99,13.2
spontaneous_sample_36.mp4,0,0.0267,0.0086,0.0067,0.3683,15.01,151.09,41.51
scripted_sample_37.mp4,1,0.1118,0.0302,0.0104,0.0855,7.9,154.38,19.78
spontaneous_sample_38.mp4,0,0.0377,0.0072,0.0079,0.1179,11.44,166.21,28.51
scripted_sample_39.mp4,1,0.1045,0.0178,0.0137,0.1039,8.16,143.46,22.65
spontaneous_sample_40.mp4,0,0.0301,0.0071,0.0089,0.29,12.5,171.05,33.69
